TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -4963 -4.80062E-01  5.69465E+00  1.02917E+00  4.19943E-01 -1.15798E+01  3.38053E+00  1.50800E+03  0.00000E+00  2.41285E+03  8.08928E-02  0.00000E+00  1.44372E-01  0.00000E+00  7.45936E-02  1.71785E-01  0.00000E+00  4.88861E-01  6.02013E-01  4.13924E+00    4709.3064207338430
        -4962 -4.80062E-01  5.69465E+00  1.02917E+00  5.78591E-01 -1.15798E+01  3.67605E+00  1.74593E+03  0.00000E+00  2.32095E+03  9.69046E-02  0.00000E+00  1.13489E-01  0.00000E+00  6.88543E-02  1.59612E-01  0.00000E+00  4.20988E-01  5.60862E-01  3.70984E+00    4733.5286411204497
        -4961 -4.80062E-01  5.69465E+00  1.02917E+00  5.78591E-01 -1.15798E+01  3.85875E+00  1.74758E+03  0.00000E+00  2.11584E+03  9.82110E-02  0.00000E+00  1.32891E-01  0.00000E+00  7.07426E-02  1.84896E-01  0.00000E+00  4.97257E-01  6.19966E-01  4.24678E+00    4756.4252217018720
        -4960 -4.80062E-01  5.69465E+00  1.02917E+00  5.78591E-01 -1.15798E+01  3.85875E+00  2.38358E+03  0.00000E+00  2.48211E+03  9.63488E-02  0.00000E+00  1.23176E-01  0.00000E+00  8.20130E-02  1.92193E-01  0.00000E+00  4.38869E-01  6.47418E-01  3.94406E+00    4728.6513887608644
        -4959 -4.80062E-01  5.69465E+00  1.02917E+00  6.45621E-01 -1.15798E+01  3.85875E+00  2.11601E+03  0.00000E+00  2.45570E+03  8.34902E-02  0.00000E+00  1.16185E-01  0.00000E+00  7.20321E-02  1.40285E-01  0.00000E+00  4.13973E-01  5.40193E-01  4.21509E+00    4660.2099597447987
        -4958 -4.80062E-01  5.69465E+00  1.02917E+00  6.45621E-01 -1.15798E+01  4.08453E+00  2.79359E+03  0.00000E+00  2.39840E+03  8.82182E-02  0.00000E+00  8.73864E-02  0.00000E+00  5.50206E-02  1.38541E-01  0.00000E+00  3.54246E-01  5.08800E-01  4.21450E+00    4600.0853896983253
        -4957 -4.80062E-01  5.69465E+00  1.02917E+00  7.62358E-01 -1.15689E+01  3.92793E+00  2.28400E+03  0.00000E+00  2.25323E+03  7.19791E-02  0.00000E+00  1.03381E-01  0.00000E+00  6.76851E-02  1.43488E-01  0.00000E+00  4.60402E-01  6.60912E-01  5.46204E+00    4601.4630118941832
        -4956 -4.80062E-01  5.69465E+00  1.02917E+00  7.47147E-01 -1.15689E+01  4.13019E+00  1.47525E+03  0.00000E+00  2.13354E+03  5.96006E-02  0.00000E+00  9.68449E-02  0.00000E+00  6.56783E-02  1.50819E-01  0.00000E+00  3.74975E-01  6.71996E-01  5.62025E+00    4649.5930137909118
        -4955 -4.80062E-01  5.69465E+00  1.02917E+00  7.47147E-01 -1.15689E+01  4.13019E+00  1.30489E+03  0.00000E+00  2.18049E+03  6.89819E-02  0.00000E+00  1.11153E-01  0.00000E+00  6.01525E-02  1.41646E-01  0.00000E+00  3.69808E-01  6.59111E-01  5.67592E+00    4699.2826514038743
        -4954 -4.80062E-01  5.69465E+00  1.02917E+00  7.47147E-01 -1.15689E+01  4.13019E+00  1.08469E+03  0.00000E+00  2.26267E+03  7.34708E-02  0.00000E+00  1.18368E-01  0.00000E+00  7.55221E-02  1.60141E-01  0.00000E+00  4.82261E-01  7.58305E-01  7.16051E+00    4694.2374167527560
